V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
5.01182913,3.590716321,4.274802904,4.814788103,7.346900283,4.37968395,5.577974798,8.789126719,5.615510187,6.374496669,7.211608022,5.88905004,5.16105578,3.730846519,4.338796904
6.308596256,4.714664504,6.840758606,4.999940045,6.832599242,4.892606008,6.335480783,7.202811726,6.997736866,3.940357224,6.830331903,7.384559422,4.349117949,5.380769023,7.592182051
4.583293331,8.29900989,5.136910316,5.395506073,5.209028134,6.541486216,9.269008882,4.254072181,5.178478059,3.472258977,4.56797083,8.684243928,5.494678333,7.954386375,3.095825531
7.466857723,5.940657817,8.591198533,4.400915845,4.772888122,5.931507563,4.419702481,5.905054299,4.472252435,5.814212812,4.873010133,4.33599398,6.872800444,5.615555366,4.621694074
5.902488877,5.009222263,5.456308105,4.379433749,6.008906694,6.748178011,5.555446454,4.190372324,7.170031389,3.228141982,4.824739588,3.939696966,6.15363787,4.507184416,4.403091335
7.22770459,5.724288312,9.921094248,5.466081118,5.670435844,6.555063012,4.708825858,5.083086301,7.669774133,6.959321171,3.581507439,6.383976791,4.910588487,4.067892475,6.217463805
5.786338332,5.749885795,6.249774641,4.199293102,4.678900896,6.364834267,4.639570414,4.456253342,7.867509087,4.481147764,4.617758446,5.667332736,6.588979468,4.86644419,3.873587733
7.537532733,6.771495648,7.420223851,6.340854587,6.719124524,3.939459865,3.628594481,4.410414658,7.641328444,7.068382003,3.886520439,6.077471495,4.82873428,4.20411587,5.357886221
5.48175603,5.9835241,3.924192922,4.649594619,3.888153886,4.529120174,4.284105519,4.687049674,6.451930445,6.531078949,5.096643121,6.234009584,8.18342778,8.985450429,4.998668153
6.85861533,5.304885927,5.382256506,5.440692354,4.725630443,4.347369895,8.657239832,3.506236178,5.432258909,7.854603294,4.926048624,5.128574139,4.899524564,5.645395893,3.83842457
5.01182913,3.590716321,4.274802904,4.814788103,7.346900283,4.37968395,5.577974798,8.627995326,5.261361604,8.080780859,5.197173734,6.129402615,5.372171712,5.626661995,6.083059453
6.47818891,6.935783892,6.376850596,6.045262889,6.254841644,5.407778967,4.416747066,3.451619376,4.121658249,6.848659147,4.373690906,5.533936912,4.044019304,6.961889597,5.299005916
4.075841703,5.147667789,4.550894738,8.757942954,4.294044664,5.797073361,4.303439851,5.117555176,4.253783079,7.082577156,8.900337312,4.111854265,8.053888186,3.512161098,3.582975374
4.323298881,5.135355395,5.382921406,7.178833107,8.549737526,5.787694035,4.001415844,4.565205503,3.942017738,4.974141368,3.73307588,6.664991174,5.061749683,3.87585627,3.934497513
6.504127706,4.650435533,6.853127581,5.81731878,5.726956626,5.364536442,2.845015384,7.568272384,8.777573252,7.128793751,5.192441605,4.746832586,5.115852333,8.58990127,5.513928495
4.031199917,6.351770679,5.235274008,4.331051398,4.798508652,4.457126402,4.422981296,3.669421513,6.897603684,8.452390379,5.86566828,6.620045483,4.794062426,4.943763839,5.656116926
4.138942917,4.324516062,3.942159955,8.208357956,5.813552376,6.43360653,4.877280796,6.125211598,4.426702523,5.094545769,5.90872797,4.72073347,5.49001415,5.255286475,4.874642881
7.482844699,5.987022517,4.884723652,4.180135208,4.391613024,4.886430399,5.499782585,5.037319212,5.392927774,4.985281407,4.455434687,3.430144125,4.090517277,5.888476453,8.661896289
5.354567501,5.773499388,9.323558773,5.057891308,6.094698843,2.84480668,3.470369721,6.793341091,4.48504989,6.137318499,3.873437475,7.090242202,7.187524113,5.188978082,6.587113624
4.001075916,4.202199523,4.351164677,6.881190425,7.823357505,6.899200437,5.849995623,5.129318866,4.850500458,5.394573507,4.535586322,3.023775016,4.272213807,5.255217546,4.867888907
4.484512184,7.616658472,5.295096785,6.406189522,4.379953449,6.880821972,4.054219582,4.910649616,6.702188969,4.977165881,4.614865291,6.288990555,5.770556046,7.114181868,5.267735936
7.096640877,4.275773093,5.508317677,6.278142492,4.804072991,5.335450618,4.729111149,5.434779179,8.410847476,5.589555514,7.234513313,6.878124361,4.426393048,5.074743048,5.996595575
5.661764913,4.169308623,5.275538983,8.594083977,5.724779194,8.829631115,4.927412298,7.008715813,4.677128926,4.242279824,5.711545961,6.4684171,4.513127205,6.861710972,6.335256629
4.164222665,4.81498933,4.511262461,4.602523895,3.697545289,6.74233691,6.165143477,4.508213495,5.819485131,4.651961448,5.989356914,4.157861245,6.917955178,6.871541535,6.885025103
4.712342408,5.582131214,3.81814477,5.807118077,5.245842653,4.162988796,5.935589342,6.18438287,5.057918445,5.452462832,4.961873025,5.033136064,4.564655324,7.966672842,7.230291332
4.777933503,8.585467337,3.430774601,5.537249164,5.473930832,5.714048039,4.326975479,4.059229201,4.364468195,6.364783151,6.825154042,5.09854853,7.448691437,10.0918604,5.967421047
5.201874912,7.591592984,7.507877814,6.190154407,5.710302617,4.72375322,6.554091574,4.558196028,4.795123953,5.174815452,7.573066027,8.124516382,6.868095237,4.766911332,5.007887071
