V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.896795352,6.042354996,7.40392424,5.322454727,10.47088218,6.21270126,6.605033834,4.658678019,4.421036932,5.691789408,3.95395034,6.096577259,6.011747925,5.799729733,6.41635863
8.082825458,4.893005349,6.326646212,6.38966962,5.911013289,8.960744394,4.929781518,5.713546655,5.575611744,4.954091099,6.142902852,6.368092334,5.76988308,6.20412721,3.325788588
5.169667347,5.34239587,4.885080861,5.242366507,6.352250403,4.448562056,6.015217943,4.834316637,6.130862211,5.381745096,4.515495953,4.936743702,4.973128642,7.592394426,7.445192303
5.853659126,4.111131523,4.798183647,5.569866807,6.866495,5.310580994,4.981465094,4.81915052,4.813826704,4.985842197,4.984825594,5.230767672,4.764404319,4.35225508,4.034665113
4.062508364,4.009993436,4.409766773,6.065550704,3.244755681,9.098423098,7.247059812,6.280955922,6.648699998,5.804421109,4.358511654,5.448477986,4.58655032,4.527688929,4.71028076
5.479520503,7.141284666,7.770755336,5.535013967,9.495380505,6.940875703,6.19992774,5.82231904,3.625126945,7.294587217,4.268970208,4.255753345,3.912267206,5.353318228,4.915751089
7.599447566,4.652010229,4.217562324,5.954052593,3.761376544,4.95711156,3.948698791,5.245335397,5.5223722,3.820851443,7.633391369,5.81858692,7.38152428,4.192581409,5.645546913
5.916245784,5.042247171,6.595538954,5.960790205,5.588993718,4.241112688,3.532128394,4.870661578,3.771340316,4.049356246,6.009883187,7.515888998,7.337566942,7.091751936,5.64967082
4.21037748,6.186370253,4.695457128,3.932326144,3.62056675,9.519345901,6.235180785,5.581513783,4.838480923,7.11888008,5.152488859,3.478049511,5.414573152,6.323420409,6.624644256
7.300692176,6.936193709,7.780759983,4.211444403,4.750523564,5.499212034,7.686759115,6.2776812,4.728632027,7.294520933,3.927944294,5.58452097,4.443315044,5.917722857,5.602141854
5.01182913,3.590716321,4.274802904,4.814788103,7.346900283,4.37968395,5.577974798,8.789126719,5.615510187,6.374496669,7.211608022,5.88905004,5.16105578,3.730846519,4.338796904
6.308596256,4.714664504,6.840758606,4.999940045,6.832599242,4.892606008,6.335480783,7.202811726,6.997736866,3.940357224,6.830331903,7.384559422,4.349117949,5.09577515,4.388055281
4.326149812,4.883115095,3.775754489,10.71241059,8.812362065,5.104627162,7.172388344,7.104731997,5.692029986,5.436758903,5.116948675,4.943631527,4.37145711,7.051309903,6.101497853
3.823189184,7.075136434,5.736674727,6.512493357,4.772591334,6.589445654,6.825996631,6.73584729,5.568192893,4.043621718,4.259541209,4.565258529,5.039212086,4.197953768,4.572025862
4.447542437,9.24716609,3.631146597,4.228597596,6.407923613,5.596294109,5.280010707,4.348708023,4.433071661,7.774976466,5.758823577,4.971926214,4.157782445,7.751767923,3.4727769
6.798755712,4.891333632,6.556242828,5.671050008,4.337679525,4.522606798,5.563799431,5.220331914,5.127145802,5.598748442,5.291339481,5.02093116,5.525465606,4.953870194,3.947779265
4.973135463,6.399316357,5.987344388,4.945482591,4.303809809,4.527434372,6.280119916,4.005629251,7.060727481,6.285625076,5.570111986,5.576373756,6.536973838,3.644621434,7.275067122
5.201868744,8.691258511,5.064094248,6.502024281,4.939418932,7.216605729,5.622356062,3.025332463,6.753234926,4.907485428,4.082844631,5.413546769,5.854537365,6.619999598,4.177538233
4.857276554,3.882427156,5.18217288,5.109843441,5.1843868,4.043485837,4.221931257,4.999004522,4.55915652,3.333675531,5.030369858,9.175340099,3.501743205,4.759560257,4.081720458
5.861718956,9.390719928,4.088372812,4.207528238,4.614509796,4.756489643,6.630061332,4.264702529,4.28159198,4.558278474,6.421006978,6.413829061,5.569855377,4.777922044,4.662153097
7.452889204,4.533391151,4.197189686,7.201001728,5.282278269,5.90129166,6.945527291,4.957931282,6.282879691,4.860223959,4.350092173,4.010920761,8.062474994,5.014894434,6.179715323
4.353525695,5.40062579,4.119829042,3.881895407,5.505700097,5.154962098,6.48071977,4.33858181,3.78223083,5.427050301,3.445511108,4.807137888,4.640167201,5.287392359,5.269014053
