V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.749015233,4.676607965,4.081181083,4.259045168,9.298194121,8.341829859,4.550188201,5.007553111,5.42162253,5.644489134,4.733068569,6.25077295,9.357646078,8.962813513,6.243520242
7.516425581,3.74465374,9.697199536,4.711630324,6.893938397,8.685723359,4.104084779,3.883807516,4.336241783,4.921763233,2.749608619,3.777618544,5.912705245,6.896793114,6.966554627
3.228891944,4.446912063,5.72218531,5.8561806,4.293324001,8.405272554,9.617326571,7.366578632,3.886507478,3.877386478,7.547412002,7.397045052,7.034089128,14.01427951,3.908207704
5.50138306,5.181072912,4.405310998,3.650905114,5.298646879,5.438551873,4.343771259,7.430782659,5.403218705,4.719241056,5.329252759,6.016285503,6.196505555,7.580568136,2.958023091
3.472214168,4.056742083,8.655026349,5.680990622,4.468779454,3.941374915,5.409127118,7.393355297,3.470566387,7.527307041,4.68314277,5.329764376,14.78477384,7.449436226,2.13250142
5.370079447,7.171828285,13.14781729,4.581416119,7.497353946,7.698489171,5.110580207,6.34057062,3.081162023,5.001296373,4.54561745,4.810831988,6.35614937,3.121035848,4.551703594
4.240365168,3.70460643,9.620029119,6.929556144,6.686180715,4.074050043,4.674959124,4.726831776,3.696286759,4.625425362,4.13268393,8.077294565,6.418480962,6.064986185,5.285542589
3.981305287,4.172849174,4.746408283,6.206203141,7.653874878,5.302987175,6.132663972,3.945954586,6.191377992,3.412599086,5.624920319,9.849471884,5.929817045,4.103125139,6.524747363
5.059589946,3.770574225,5.694586674,5.576261515,4.376866558,6.779937529,3.469746595,3.939737744,10.60298189,4.685894944,4.390373385,6.891152843,4.044840269,9.293330938,3.840532178
2.401298766,7.732955776,5.909077218,4.309213924,4.345208246,10.4858476,4.277555269,7.740333475,7.301243361,5.471258598,4.091278147,4.454360745,8.341102618,7.393790881,5.937037088
4.744907775,5.488637642,7.218219353,7.736156724,14.65617875,7.20035855,4.121661951,6.638063804,5.981172217,5.545074889,5.867599388,4.95432072,3.264800141,5.183890331,8.810998616
11.47213227,4.589900694,5.820980347,4.238761595,3.483773755,3.510966039,6.582338927,8.589957727,4.746879739,6.921314832,8.531622569,5.923910053,7.447901876,7.092349414,2.697008287
8.069215283,5.138255582,3.165042831,6.394069003,7.745376587,3.691547797,6.151720409,5.872442378,7.164628976,7.00457222,4.865471625,5.141244921,6.556414597,6.265146133,9.239444325
5.235024554,3.930224711,7.112996069,3.341733434,5.60914446,8.951593397,4.667850343,4.092776369,3.805044105,7.725190538,6.727594827,2.786640915,5.698313605,5.692497484,8.412262568
9.928687985,3.597685305,4.958114877,4.637809247,6.293591556,4.817965998,4.959510339,7.61554568,6.253911272,5.178849852,5.290691613,6.114322965,7.254969088,7.715881213,4.334408601
4.751747595,5.400529075,5.010202903,6.200675768,5.551170473,4.180862624,4.162899984,5.099411689,4.084537042,6.387948542,7.754422011,9.769086487,5.371487551,5.889025009,6.457627483
4.923621781,4.758917711,3.99679778,3.183401631,3.885105984,3.591469091,6.638754231,7.62584493,4.208064634,5.080252544,3.991480999,5.690307891,4.112763637,2.943304692,5.518324279
8.12115862,4.206604477,5.029306223,5.357269447,6.487849652,7.526339327,6.309364094,4.108303814,4.295425211,4.211343245,6.235007588,5.312344545,4.301892552,4.896051833,4.37517863
6.365837154,3.093169302,7.247789265,4.948757478,5.783610315,4.510375719,5.264767383,6.7535029,3.407334241,7.267640044,3.487978231,4.017765657,5.974979257,9.458850948,6.400638626
4.718047472,4.805453401,5.215348783,4.172163243,4.195335337,3.413460971,5.155586616,3.551443023,4.519255233,3.85410444,5.297097803,7.237305972,2.429763504,8.678381319,5.079581185
5.697052229,5.748759075,3.462504707,7.003911931,3.674971295,4.192749314,4.861275072,8.195786438,6.014876627,4.609912097,5.410655438,6.911673886,3.402778189,3.80599935,6.249753402
5.152519187,5.769144415,6.12739592,5.417409599,5.613962898,5.974682303,4.238440923,5.700915876,5.246594942,5.276211118,4.559922743,4.313020808,5.269754025,4.841454034,4.882192072
5.255652606,5.510306716,4.962941183,5.708979022,6.743440828,4.250941507,5.577085208,6.899784109,3.978876636,4.674501011,4.715357028,6.833547099,2.656113729,8.715201267,8.361538112
8.331930767,5.263259506,4.840913458,5.980905356,5.840163853,4.086382724,7.260359636,3.501768692,7.559433262,5.498602806,3.218465512,6.718691676,7.82709337,6.238063282,9.511305788
4.838320009,7.965822847,3.910113898,3.691427217,3.868720715,7.266267852,9.183226524,6.481158745,4.211969423,12.47947532,5.062409627,6.918834328,4.447228382,8.593638995,3.624618083
2.798001815,5.369329808,4.859444043,7.087864253,3.278900915,7.58631241,5.882659662,3.870882038,5.957371773,3.958620247,8.216346229,10.75785028,6.18484015,4.403385479,5.367131054
5.624286949,5.694123466,5.878787414,4.271535588,4.245342814,5.125334376,4.471228105,7.246209486,4.076854109,5.964477111,9.590953188,11.50270786,3.912962318,5.224102405,4.13785356
3.260286828,4.07576998,3.097522636,3.787434955,4.864443592,4.121801734,6.36609372,3.684743855,8.998385445,3.504376947,4.452001461,6.512183041,3.667779268,2.963530971,5.486502172
4.089805537,4.900791633,5.195532932,7.020158622,4.964672215,5.120962805,7.301882529,4.373560658,9.496561274,6.486089086,12.44203062,2.919206031,6.12222209,3.933740151,7.683682341
3.340073942,6.491895384,5.686357248,6.35929456,4.107852133,4.664998826,4.224646045,3.265224941,6.367652536,4.772856918,3.307321833,7.286188389,8.910287853,4.500641782,7.033332867
4.099030722,4.606659905,2.377297105,6.376516455,7.200802781,3.72670031,6.191416705,5.299298228,3.859886191,12.03060756,4.222670439,4.040245151,5.917297437,5.541639414,5.961787413
