V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.744907779,5.493504892,6.331793194,3.036057205,7.705019671,4.597170414,5.272923182,5.511678795,7.345430474,6.070650375,6.924272164,4.836731836,3.26853957,5.108699485,7.155602549
3.726240364,5.254738228,2.607816367,4.479926959,5.718563559,10.07952107,6.303766559,4.147898291,3.714349221,4.323393294,9.23727045,4.923666939,5.127931875,3.932464886,8.782699186
8.121336932,7.89725245,4.97539597,5.071540468,4.376424058,4.192653695,5.309099742,7.384580902,3.465745214,7.079456263,8.725478896,4.686122463,3.724416661,6.814615281,5.5402527
5.468383836,4.952711044,5.775522357,4.710392182,4.726539086,5.36562144,5.42353164,5.008944623,8.271585739,6.883175625,6.085779797,5.54695251,4.22739065,3.415769281,5.77278184
6.618660113,4.545868715,6.18835076,7.946422297,6.023179375,4.097877644,4.84257198,14.22753424,9.00602558,4.700669609,6.246407106,8.810715832,7.998327134,3.611829177,4.18439168
3.616624324,10.17422723,6.427730649,6.874904357,7.164477284,3.886352966,7.070542463,8.735656085,3.753093018,5.474561756,3.487498422,6.069722747,6.735664161,4.874342758,3.479206476
7.301289546,4.241166305,3.70249181,6.875168622,4.771571056,6.131885777,12.46317599,5.174591681,4.576103812,3.261447859,6.956862976,5.755287004,6.625613131,3.184753418,8.640433642
8.883454268,3.773886988,4.899415802,4.183327011,4.336198439,5.447769825,5.372478097,9.03184803,6.010927963,7.837463055,3.310018172,7.406008275,4.008719044,6.86464198,3.619003382
7.657588539,3.422203205,5.015034723,4.107180017,10.30655381,7.383245272,3.777333332,11.32308133,5.878139905,5.866551006,6.342179818,4.618655405,7.139897655,3.974163107,8.098004709
4.794587042,4.241401612,5.881034517,4.939737304,6.949512087,4.405824029,5.046154806,2.999295154,5.285050242,3.996135433,3.733708072,4.65399075,3.809225311,6.962315984,4.885796008
5.18513641,7.139407891,3.50069553,7.809587817,5.585747389,6.54340861,4.778744717,8.12500324,4.899644333,5.109353735,5.202919641,6.480364105,4.858089073,3.213761822,5.155793887
7.032887894,5.935820191,3.725080214,5.130379093,6.438884143,4.255735831,4.260852346,4.465228535,7.237725946,4.71330311,6.302355479,2.25356439,4.515601188,8.439448212,4.057956267
7.025590848,8.115292862,5.152919534,7.091053804,7.023621683,3.364987819,7.048792467,3.564431071,3.52540305,5.860309422,4.99817679,4.767551223,6.365987942,5.181651901,5.189259507
8.089761404,6.080351726,4.401332783,10.70191438,7.352018012,3.28738842,5.34015931,5.513227111,3.632985673,4.165377899,4.977530283,5.370586846,5.791571724,3.353885553,6.841550284
4.901497521,3.471331729,6.077411983,4.455471697,4.923021858,3.919956695,4.909805546,4.677224875,6.610309984,4.494676691,3.496288059,3.815133043,8.907622212,4.633048262,6.833348061
3.383468052,4.529418079,6.254307576,9.877074475,4.041290365,6.240659605,7.558994075,4.730383111,5.127916519,3.803609277,6.262660163,7.010505411,5.96944208,6.642987119,3.649590842
3.462492462,5.921640027,5.904496644,7.846173878,5.508207858,7.662295424,3.319626044,9.477774529,6.075133435,4.907313557,8.493650779,5.971320916,3.857650952,2.970916781,6.406670153
4.966295959,5.407372461,10.37807525,4.622522587,3.506283613,5.184965181,4.442626976,6.586457707,5.342873397,5.956758319,6.527885773,3.010103602,4.867650814,4.636426567,5.083253578
3.057870296,3.47939508,4.634476434,5.29178786,6.369274295,3.831169421,5.936362667,3.46265517,3.905728875,3.967563785,7.165936988,7.647748673,5.846152499,6.057631286,12.74169612
