V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
7.309419143,9.22359228,13.75528981,7.091944378,7.405839009,8.060303771,9.126529183,9.360590443,9.592358625,9.681460721,9.578140503,9.327731792,9.065730201,8.8206149,8.667464681
8.266893187,6.46665247,8.174395724,7.90638442,9.017828675,9.211955202,9.666124256,9.71879213,9.589647223,9.334737591,9.09690313,8.857655603,8.697370139,8.600152432,8.549708418
8.549925721,7.385841706,6.788487207,7.233153924,9.160642806,9.525364337,9.875477074,9.698291605,9.522245569,9.310753493,9.085204221,8.887002633,8.742772689,8.608941872,8.521285508
9.890429681,6.513945966,7.956147173,6.923240131,8.426120726,8.705374811,9.336431653,9.645596133,9.633596431,9.464214678,9.263215281,8.99340814,8.758650574,8.621107635,8.550431978
8.606811351,7.623447049,7.757655061,6.28232951,7.204529554,8.264778454,8.769688233,9.352583135,9.602352579,9.541027838,9.327394382,9.097646368,8.815153555,8.660845287,8.559184212
7.324056122,12.39199745,6.527212362,6.945389086,6.945296141,6.725629169,6.45815479,8.325298039,9.110253824,9.500739064,9.671109782,9.630813617,9.334282122,9.042222199,8.822122302
7.260765533,8.677564441,5.415684492,6.443753262,6.523381454,8.751730146,9.344072147,9.725294275,9.608649022,9.48041116,9.347962546,9.107124026,8.853100855,8.68092384,8.561799128
8.593622149,7.794836621,7.577488136,7.090731362,9.27749875,9.870515192,9.657883867,9.716074997,9.527441711,9.230256531,8.975933357,8.769240135,8.614189008,8.521717318,8.489805861
8.047666462,7.732789545,6.674955092,6.471153518,6.424362087,7.793361619,8.308446844,8.968894643,9.387987248,9.504332047,9.397013503,9.279666124,9.066119,8.821958368,8.665076408
6.761184323,11.11494236,8.65552462,8.752638705,7.18044497,8.914741823,9.734902976,9.826094119,9.864709213,9.832299519,9.618654921,9.312540689,9.004391668,8.826169933,8.704692452
7.945488867,7.515690537,7.73410986,7.329420593,7.714028606,8.847259629,9.068066782,9.240575688,9.466222943,9.391737366,9.2645863,9.10639644,8.90320891,8.725186503,8.571427977
7.942154178,7.565227148,9.021040541,6.90119228,7.766302616,8.556836515,9.059236235,9.388691892,9.591755785,9.544141109,9.30680924,9.012793023,8.80192033,8.628925535,8.528921902
6.956247842,6.508164085,5.987026321,5.529619001,5.830129773,6.215859063,8.01766815,9.203037312,9.674517609,9.882222837,9.642941547,9.438914396,9.133341297,8.875892116,8.704022832
7.16827496,8.438144963,7.992959765,9.638913078,9.784168907,9.615843824,9.860072273,9.696783492,9.425641641,9.096476838,8.867936704,8.691469673,8.568363171,8.517303701,8.493809572
#DIV/0!,7.498811309,5.699555427,5.873320769,5.506600355,5.642545773,5.810172815,5.983384927,8.004818276,9.208695336,9.506593917,9.560740345,9.660395249,9.516334686,9.250008842
8.444985821,5.96317642,6.326503075,5.055788188,6.793825849,6.74876369,6.4960702,8.876327327,9.292402343,9.414734658,9.473883064,9.539511482,9.3564087,9.097151972,8.868761767
8.970379116,6.202831198,5.428929927,6.370004666,6.713952284,8.29521055,8.884831931,9.298387915,9.588779323,9.539050274,9.321350121,9.113128904,8.872145264,8.705094264,8.590286282
7.741418207,6.239246926,8.96652367,6.790488452,8.93903668,9.494839719,9.78019949,9.943274015,9.704908551,9.418625848,9.164603844,8.941643956,8.753832126,8.624506981,8.558139342
7.054251861,12.08852405,6.757797129,6.520020911,7.018310428,8.719537271,9.330287384,9.480924726,9.559352283,9.530428428,9.338394595,9.050791023,8.815350359,8.667261599,8.574894249
8.988779037,6.688433605,5.29896056,6.061428107,6.150951736,6.408813884,8.367021348,9.12708281,9.681476939,9.662875568,9.564729287,9.318016794,9.102532782,8.865016785,8.699149506
6.796032623,16.74945547,7.333826491,8.870167123,7.858220394,8.914934619,9.157738148,9.472638913,9.565504734,9.524626115,9.335018885,9.073221339,8.8219529,8.662964782,8.576267066
7.823054449,9.144785192,6.157794839,5.778473913,5.976376827,6.513213639,8.099916788,8.942844785,9.430695896,9.642929087,9.734052186,9.478489067,9.207823846,8.95296462,8.753790005
6.632204258,14.39083201,6.592301878,7.385401394,7.292803205,9.43502885,9.887998095,9.968394904,9.844701643,9.569766373,9.224284565,8.924684764,8.754552794,8.649032931,8.593462663
7.282261546,13.7252393,6.67469014,6.740029949,6.884878831,5.994098802,6.941797969,9.660976666,9.747288753,9.830953074,9.579196807,9.356042361,9.083817011,8.879044005,8.698301766
12.25918571,8.066556758,6.083521909,6.74743354,8.020280922,8.693578614,9.133522096,9.447726583,9.478024009,9.352440324,9.175313648,8.925685929,8.723906054,8.585197152,8.523442814
9.59017134,5.964769644,5.571851277,6.403688698,5.312963155,6.050557431,4.956579149,5.77484389,6.166465257,7.98858584,9.15532723,9.521215387,9.58566837,9.553012987,9.336169093
8.493423981,9.643254842,6.225155174,6.65744891,9.231418714,9.561563563,9.743942005,9.71956323,9.519085205,9.24530314,9.002036426,8.822635728,8.658842632,8.562732527,8.521371555
6.956042289,13.32813513,5.483513754,5.995124137,5.460680116,5.880810248,6.401671718,5.867927841,6.027889732,7.482475623,8.197062805,8.626084542,9.044755053,9.522102877,9.436755394
8.011917395,8.602601071,7.582143389,6.964042371,8.881360174,9.33271471,9.58177979,9.841270805,9.675333616,9.434370721,9.167035892,8.959724596,8.765287015,8.632665617,8.581537509
6.673530518,12.24826485,7.944591905,9.199764259,7.345221678,9.505362887,9.49467802,9.583828028,9.660685205,9.453186474,9.19356638,8.94978241,8.758918575,8.587987037,8.476397608
7.255631629,19.97185529,6.456623068,6.837409815,8.359700142,8.793313279,9.112835065,9.267498554,9.38167721,9.390621429,9.236801493,8.985557585,8.802624013,8.644391505,8.527074006
10.86373179,8.315182803,6.101522311,6.148746456,5.919015616,7.031626211,8.444370252,9.218112104,9.517282903,9.736878798,9.631041099,9.327513513,9.070279704,8.822038776,8.657014249
14.74013494,6.013109415,6.013100461,6.546758755,8.816205362,9.50557422,9.706089582,9.830763445,9.81907121,9.582685369,9.258997367,8.993271409,8.786003164,8.683304663,8.619194767
6.886282524,9.711691432,8.16490775,7.319034551,6.811646546,6.919208859,6.850402157,8.606770011,9.039413896,9.460833769,9.731776661,9.622934329,9.391451711,9.136194338,8.877349649
5.433805031,18.41234818,7.243782707,7.889396272,6.413511579,6.602721273,8.169650527,8.533527871,9.09769855,9.473097367,9.484582044,9.407743392,9.162597921,8.908169151,8.746404138
10.0631447,8.111797701,7.131004978,6.545897381,6.527420093,7.114730422,8.442920358,9.18855674,9.491575928,9.559229859,9.516316657,9.3068987,9.013332608,8.770237004,8.62036715
10.81285109,8.973090754,7.031045806,7.331525766,8.919752354,9.24033509,9.549456671,9.493142667,9.433971492,9.283403389,9.079740068,8.838295064,8.669381701,8.552675251,8.471788443
7.284404101,8.516700386,7.927547731,6.932134435,9.61374156,9.590097288,9.403301344,9.410172784,9.413326109,9.227657374,8.957134274,8.768665968,8.597694685,8.490937214,8.433361965
6.318597622,12.20681034,7.499218309,6.287056603,7.040819222,6.589404447,7.519730471,7.866667709,8.613493802,9.099531652,9.500137287,9.662915238,9.607701661,9.344971037,9.094421097
12.4472007,7.038144118,7.80051278,7.115895803,8.847638695,9.401093897,9.881142323,9.873190573,9.689902889,9.366379364,9.091638496,8.868176049,8.702720442,8.617529183,8.590825819
7.786618851,7.974617023,6.697088766,6.479269894,6.549241721,7.790308604,8.477504803,9.225244624,9.508180214,9.634166382,9.523077534,9.213881813,9.007085916,8.80466076,8.656383731
20.26365913,7.060611534,5.213500061,5.89295715,6.190209793,7.776404329,8.184069074,8.942289634,9.347763666,9.399582255,9.274316162,9.038345265,8.807478843,8.637185744,8.531718925
7.44426172,10.25369633,9.684463439,8.692860308,7.564179472,8.872826719,9.234265766,9.743743078,9.82477322,9.671989707,9.382135839,9.116263411,8.877172198,8.720501575,8.629592949
