V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
17.24560031,23.00783379,21.14810979,19.9639568,20.134421,20.19393526,20.35263243,20.59548672,21.31278712,22.98970069,25.93379531,30.16608112,35.35545502,41.29448091,47.71330747
29.07035958,28.26157899,20.8102169,19.48926049,19.58342946,19.76567245,20.06553015,22.0139415,25.3457834,29.99939185,35.7809239,42.00916795,48.5090247,55.24209705,61.96940721
27.57104203,26.05267145,20.27973157,19.76609832,19.59734999,19.91461787,20.73068023,21.46586693,23.263021,26.62957325,31.17721298,36.84774222,42.81388508,49.36710076,56.11966306
17.87250487,10.18215065,15.89696807,20.11274071,22.55302961,22.22803139,22.55791972,22.53303152,21.90112901,21.61614277,21.35600759,22.01587564,23.66581844,26.38567399,30.37283854
20.14762228,13.04268407,17.72380408,21.85455549,23.61669121,23.65608232,20.78114299,20.51069675,20.81558218,20.50593967,21.28375802,23.36136903,26.95066706,31.75591902,37.40495268
13.63447211,14.75107415,17.32063435,27.62485262,20.90671577,19.7419527,20.24383836,20.7499032,20.85229759,21.32872726,22.45084181,25.00712757,28.81440441,33.88256531,39.66151054
25.55646754,26.33077012,21.75203565,19.25970705,20.15750502,19.64782421,20.39250955,21.50642114,23.43070238,26.63194275,30.75179002,35.7924629,41.40045934,47.5992017,54.21008079
19.9574998,34.13886224,21.69230873,18.78760915,19.70552685,20.1048744,20.4143091,21.13906172,23.17517036,26.68875804,31.35760716,36.84370049,42.67445015,49.02425876,55.6018637
23.00613274,17.65905068,20.77632905,21.60461914,24.091958,25.42709729,24.33751905,22.94527902,22.0387315,21.28294488,20.93446612,21.99167094,24.32633072,28.42297376,33.68732738
40.10334389,22.91079237,18.83001425,20.72586887,19.86977782,20.46452801,21.4667903,22.41024045,23.23379225,25.14349233,28.2392131,32.70681671,38.11223231,44.26468655,50.71445244
22.15415716,17.34176357,26.89731796,19.59305676,19.94665662,19.81395564,19.66730878,20.44809622,22.60516035,26.3090937,31.21942698,36.98364282,43.28909119,49.90212077,56.73491446
28.64568647,16.26116254,18.57058533,22.41122033,23.45768591,23.08151269,22.42657683,21.87096391,21.10790673,21.06958594,21.89368302,23.70410275,26.9637299,31.7117175,37.6172672
25.46680925,19.54546345,20.60781248,22.53959853,22.455099,22.17657539,21.21245489,20.32344461,20.61073769,22.09983383,24.71607672,28.56897432,33.68029679,39.58730208,45.90534134
13.91719531,13.39809781,22.78829632,19.30559684,20.98305701,21.02918898,20.49808791,20.86368531,20.71622039,21.54468567,23.82218194,27.63292206,32.47593397,38.22328296,44.50041279
24.72997396,11.8216621,18.44939659,21.40753632,22.48494086,22.2424662,21.12580129,20.35462863,20.52645167,21.41447134,23.19990587,26.57989843,30.99830371,36.37636342,42.43615043
18.33269611,14.36285623,20.67964215,23.69160131,22.39835704,20.75061686,21.60961472,21.34397355,21.38486567,21.03496557,21.46568567,23.46853152,26.89485553,31.35886507,36.70705504
19.4623397,22.91990958,20.6468895,20.43691428,23.28295836,24.01028899,24.5730826,23.96005645,22.93312623,21.78283774,21.64707486,22.79222345,25.23154171,29.01823506,33.79697715
20.40528053,15.77751515,19.847913,22.159473,22.47966458,24.589491,24.07138121,22.77999787,21.51378285,21.37629423,21.68037837,22.00010512,23.46551822,26.58919859,30.89818219
23.16083495,14.38793695,20.76299787,22.45843743,21.26168308,21.25823808,20.08587503,20.33990145,20.60532573,21.68937449,23.88935643,27.71420564,32.75119915,38.65646179,45.0825094
23.38020544,18.18884606,19.72869552,22.71869163,23.31964639,24.14468456,22.75582554,21.43597348,20.39744181,20.27035387,21.07682464,23.5430936,27.70580977,32.85799285,38.8117733
25.46840647,17.41833265,20.76527348,23.9486526,20.98334084,20.68316968,21.37965643,19.83050937,20.23713144,21.65127672,24.6559106,28.99970419,34.37850743,40.59904852,47.24936536
29.25029235,22.60878101,19.73604647,20.45686206,21.78417956,22.17649649,21.25760939,21.00485153,21.09191042,21.83599481,23.83012539,27.13305941,31.74935369,37.39114666,43.59762262
32.61854326,20.65890195,21.9506592,23.65742742,21.37022486,21.8231574,21.54480519,21.02019716,21.12264795,22.09787818,24.43957201,27.87000777,32.55764962,38.18843827,44.20397744
22.34562792,28.42414768,18.46597924,20.97265166,19.75864636,20.54949748,20.32851222,20.51703565,21.51711434,23.66880091,27.14405099,31.77161531,37.33942847,43.67181143,50.30020819
30.64401872,22.05696318,20.66877525,20.85639797,20.53309397,20.24922061,20.77736312,21.05638357,21.90219749,23.6050366,26.69126436,31.00424532,36.21868838,42.06125008,48.47450891
