V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
12.87395739,14.8904315,23.90210491,19.51606528,19.992343,19.05956529,20.07361311,20.64097739,20.86033804,21.56752187,22.79376514,25.17336548,28.90958737,33.85127147,39.61110852
14.92306706,18.26813866,25.46270362,19.5382583,19.28797226,19.97151911,20.47881918,20.9172078,22.20228388,24.66960083,28.33195459,33.02142585,38.52141452,44.53237096,50.96109051
14.87594778,21.61244517,21.98281286,20.81565915,20.72665382,20.17761167,20.06002427,20.71556122,22.22007953,24.60314064,28.02794428,32.483104,37.64539504,43.46210255,49.95884064
21.61076816,21.95642179,22.4304583,20.86780305,21.2187247,21.26529762,21.41849473,21.37376054,22.08366637,23.46877356,25.89716261,29.81381272,35.00966701,41.00727254,47.4399184
15.73181412,21.12683351,22.75855751,20.68440849,20.52574561,20.959852,21.50891104,21.61881645,21.86557111,22.47268592,24.38372972,27.6085257,32.2761309,37.7993196,43.8176452
14.00349403,15.30288189,20.075402,20.93268015,23.0391656,22.86940681,23.00594417,22.78315403,21.78030997,21.14339457,21.24020698,22.10474502,24.21797981,27.94806518,32.84479115
12.44682635,22.22992807,20.8815558,21.05376687,20.4664669,20.60353211,20.76190622,20.73429898,21.23673591,22.55226456,24.75415699,28.13473029,32.81815683,38.33447367,44.4600606
17.48360558,21.13894803,20.99968123,19.2322087,20.77822769,19.97121554,19.97884837,21.00654184,22.52010867,25.36202345,29.47332547,34.48783957,40.28123884,46.63065833,53.24661204
13.59577739,18.55251443,21.73759564,21.60576,22.14438182,21.27055696,21.32209057,21.59982946,21.67234958,21.67347638,22.76625967,24.8414319,28.0079486,32.38902012,37.72562342
17.38836499,16.67716383,19.37740495,23.29792496,20.90449555,23.68288275,19.8982233,19.70961475,20.38824531,21.08495799,22.65535212,25.6671779,30.20733492,35.71281579,41.89109537
14.08921374,17.26318344,20.49412648,22.29703775,21.91219445,20.28448493,20.41751626,20.75929017,21.39151497,22.50756463,24.47307443,27.39989372,31.40931191,36.34753355,42.07213995
14.73027225,19.25954211,23.47951187,19.87811491,20.71862105,21.28878988,21.53750244,21.64451964,21.87688671,22.69521185,24.82267102,28.47298968,33.22604393,38.85191951,45.02586091
15.17124673,16.45964438,20.24114034,21.65431465,22.31590347,23.19381007,22.47352205,21.16472861,20.71911806,20.61669409,21.34249925,23.306816,26.68137326,31.34390271,36.77232401
24.64857587,25.174372,21.04236497,20.07417303,19.81037193,19.66827582,20.38586387,21.20904784,23.21633178,26.75360731,31.55147355,37.15000994,43.3632632,49.90732929,56.57594
#DIV/0!,19.81734237,19.61557018,21.14879678,20.72373686,23.97035454,23.53081638,22.02234788,21.61715196,20.66163497,20.82830325,21.05632125,21.62467831,22.77179159,25.31322808
29.87995084,17.30524723,20.21719615,22.93739042,23.63756687,24.44378912,23.73217444,22.98309087,21.17477035,20.77072391,21.10622478,21.92216407,23.71235996,26.70008217,30.80636055
12.8597003,19.33530142,20.11218232,21.67011492,20.77589528,20.16760026,20.61903529,21.06472378,21.28533755,22.25231376,24.42217426,27.86744577,32.56089431,38.07188541,44.33336346
14.20326522,18.41384254,21.33910061,20.21245109,20.21854188,20.44529716,20.55459884,20.64943046,21.53438955,23.59903196,26.77115979,31.02194232,36.11396465,41.99255265,48.28717328
15.27057713,19.59357263,23.38949705,21.4546162,20.63905973,20.77582345,20.95976973,20.94863267,21.36081804,22.36912293,24.61106892,28.16727354,32.99776332,38.48512016,44.30545356
15.02150113,19.28719384,19.27261746,21.67474302,21.89638793,21.07096376,20.79770029,21.13751366,20.99445918,20.98366238,22.44647643,24.95710584,28.59427002,33.49332021,39.35100737
15.79952885,18.67768797,20.73071329,22.87911632,19.07979098,20.07314391,20.36705953,20.82809864,21.40875325,22.32981907,24.42439689,27.99508353,32.90478711,38.65440422,44.90449576
11.57536457,23.00091707,18.5524626,20.86635442,23.22632945,23.91813872,22.61803567,21.94703429,21.65013217,21.6028153,21.98612445,23.64310581,26.63985221,30.96647929,36.31519442
12.96919127,24.81667183,19.48458622,21.69664551,21.83210704,20.36960506,19.76660073,19.99739159,20.76025669,22.57073138,25.87589557,30.64444135,36.23438939,42.36302729,48.86412377
17.56946556,21.79462092,14.95927631,20.81277553,22.52466682,22.60206558,22.55702098,21.42776163,20.35341358,20.31298078,21.06696748,22.99914817,26.27312149,30.61939312,35.85841533
23.80521201,22.97724124,19.098199,20.321903,20.04114749,20.72666996,21.31284463,21.69807935,22.41699721,24.00510754,26.66721758,30.74917203,35.96316824,41.87504778,48.21866884
14.68953592,17.24190695,17.74289116,20.47246184,24.81794651,24.11241546,24.6071054,25.11492024,24.53904608,23.61367061,22.2894755,21.39600346,21.68595815,22.76565817,25.0480449
17.04039568,24.83896359,20.3630729,21.20466099,21.60879506,20.25217509,20.28786611,20.81842458,22.15378492,24.94963708,28.91374887,33.69392216,39.3091924,45.3979036,51.88225363
12.91289334,26.32889841,15.21878087,18.94000047,22.74290238,25.54309142,26.85951199,26.68267726,26.80471202,26.00571791,24.468202,23.51843833,23.11468987,22.87594033,23.49792172
