V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
11.87633984,16.93784667,10.77458677,14.51558854,11.98187727,11.72740872,11.66127286,10.50474976,9.643383623,8.614044662,7.797702702,7.340648828,7.165186577,7.069705836,7.028539603
26.34220655,17.03851493,14.62841072,11.23695552,10.3319665,10.83762239,11.95934364,10.3637629,9.140021,8.234075058,7.600879923,7.270637929,7.152030695,7.080491265,7.061063299
21.4046809,10.53595208,12.10956888,9.920990915,11.74755956,12.97426838,12.08893627,14.66144094,11.04735047,10.66468889,9.449923542,8.503082423,7.834716133,7.436331985,7.253147467
9.836764307,13.07130457,14.00257855,17.04018613,15.7277484,12.48271861,11.40103903,9.642924065,8.586189974,7.893869763,7.470342442,7.285712373,7.1327886,7.059388945,7.026892042
13.9461479,49.58842352,12.22197079,11.47260473,11.33080998,10.69095138,9.832916913,8.815198297,8.125530409,7.572547676,7.317861233,7.155930517,7.09448683,7.068850619,7.044793219
44.21238249,16.42778936,13.55180046,12.90642943,11.0051432,10.37492198,8.898343438,8.154592148,7.588068873,7.325644962,7.156865173,7.066900431,7.020267822,7.006308396,7.000616075
12.17310778,31.06637346,15.45716513,11.20387572,10.78115936,12.07618508,10.28095274,9.609167669,8.66624369,7.943945992,7.505625466,7.246504571,7.146515546,7.066227489,7.035208354
10.02284256,12.52544372,17.05824901,12.74945894,10.91288903,11.34968708,11.67752464,10.93312004,9.744177437,8.537827901,7.808246702,7.417787475,7.192011511,7.070308105,7.033538076
31.11036018,24.26664677,12.09718974,10.12224862,11.08759113,10.37082169,9.479116033,8.711990717,7.861992409,7.568478992,7.268519936,7.15133101,7.049336416,7.027318292,7.00902875
11.17143999,12.77444114,9.631160178,16.658446,17.48252329,12.22328365,10.89880256,9.791413518,8.510924844,7.763134229,7.326849941,7.124181254,7.074272676,7.010708099,6.991475175
14.54405916,15.55516968,12.76608234,14.57733576,12.40779427,12.24508338,10.31780469,9.445391277,8.421524592,7.75330473,7.455051259,7.22655124,7.153653232,7.10170908,7.068982089
31.6922726,10.7089309,14.76363967,13.28263264,11.92909114,11.93062096,10.48120128,9.743326674,8.527780734,7.730798745,7.344160692,7.161603612,7.080707196,7.050620025,7.027987153
23.3182559,21.34076652,17.55993808,14.4750785,12.17471357,10.265723,9.186115242,7.984282652,7.586358017,7.345181047,7.163590467,7.096676433,7.060027787,7.033905118,7.015975826
49.96126503,13.46746516,13.08921528,13.1798053,10.58749827,10.65751814,9.47617846,8.350982509,7.647509406,7.245113117,7.097323705,7.031726284,6.996324914,6.992594185,6.978631013
29.08195143,14.73438711,10.80903568,11.76709336,12.22871617,11.32075553,9.956029792,8.977019441,8.013447205,7.595874386,7.327058826,7.222546386,7.123833607,7.072598755,7.0448158
29.7995169,7.764853584,9.423661313,10.07439964,15.33644409,14.12901942,12.37568056,10.76207432,9.213722229,8.279639252,7.741504477,7.422822796,7.272247939,7.177489761,7.14594414
35.23021377,15.38601504,12.83986579,14.886237,12.86573257,11.61194029,9.909919034,8.915646289,7.986731675,7.48691069,7.269765438,7.135946132,7.069513765,7.0502406,7.033397681
9.854484931,11.00816944,10.05259831,17.53485996,16.07482432,11.12528324,9.853839963,11.33639424,9.693253597,8.834487684,7.836125428,7.418158902,7.215639547,7.130185937,7.034902543
39.34824356,16.95498908,14.3458451,10.59151223,11.77299268,11.83655727,9.813810426,8.848120838,7.917274113,7.429670774,7.204881705,7.044524884,6.988496041,6.980889633,6.978793387
24.26778746,12.49820135,11.68591887,14.12916735,12.23267761,11.20779026,10.58125657,9.238376593,8.460049506,7.668033471,7.249956189,7.07180385,7.027126691,7.00013749,6.987041818
21.68725687,10.94974113,8.918460761,10.0429986,9.031781711,10.36027365,12.67760774,13.24086917,13.35033365,11.25599477,9.582672688,8.517964762,7.63291743,7.344266464,7.169882221
21.75170387,17.72038295,13.74027427,12.30505002,11.58613801,13.43833493,10.76232277,9.4201777,8.521641296,7.760541297,7.438611224,7.223135901,7.120151995,7.045023853,7.021724521
45.49773314,16.28082601,12.08830439,10.35384418,11.26352081,10.45789638,10.31969603,8.955485301,8.030319016,7.539240692,7.283908416,7.170503274,7.095409179,7.064514104,7.034351121
13.17183713,12.08813181,12.64794027,12.03987119,13.15008929,10.5788573,11.79472262,11.46227142,10.52008115,9.166231767,8.22237546,7.58858418,7.280940226,7.135681552,7.077214212
39.00916868,25.80506646,13.02080315,11.66405769,11.132426,9.75089572,8.757543562,7.922021891,7.490947284,7.209080269,7.07432117,7.001547461,6.970919853,6.948998693,6.945010318
25.89641811,14.49359845,11.9540223,14.00218484,15.01005133,13.46945547,10.83384767,9.915557821,8.633204974,7.968457721,7.506437389,7.215792206,7.096089201,7.006223916,6.977827194
19.84025736,21.90324622,15.35602035,11.98566227,11.46629475,11.74037706,10.57055635,9.348833812,8.476335686,7.820100894,7.468534374,7.233582282,7.151856221,7.08159723,7.044487219
13.22703261,12.37381845,9.49303302,11.2295276,9.739872454,8.822207508,9.874643767,9.067963352,9.401113178,9.989396256,10.17597476,10.90916442,12.39421153,11.62687543,11.4943447
38.69731375,12.04726368,12.24220368,12.79335188,11.39531106,10.47463658,10.20568882,8.662896557,8.000782669,7.532470806,7.26229761,7.126861056,7.064631837,7.03045429,7.014040875
27.67394284,14.62321025,16.14655622,18.1109461,12.91429144,10.88713504,10.37607438,8.881514311,7.891212813,7.370114845,7.146146412,7.060529752,7.016152298,7.002555099,6.983175756
24.92815208,15.31284268,11.25715405,9.283401432,10.34689572,13.16578,10.79951918,9.872987082,9.668298189,9.491982545,8.742576394,8.115719512,7.565551418,7.311508257,7.131577076
19.66455146,7.012122579,8.767466031,7.418078506,7.234340913,7.912204846,9.590086061,10.46886519,11.3649259,12.14688194,12.01952736,11.29047014,9.569252354,8.365391185,7.70445691
19.78698519,26.79025978,12.44122253,14.05543605,13.26289111,11.9435831,9.898170296,8.573900035,7.887524096,7.524644547,7.239179546,7.1462964,7.084716719,7.078639824,7.057544138
