V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
10.04007365,8.287637922,19.63133106,12.77395389,12.88842109,10.50313063,10.45098006,10.56037623,9.965264973,9.476200371,8.834659238,8.088887948,7.616521661,7.345795554,7.21419606
11.82702694,13.90272538,20.69098582,12.70438255,10.66027335,10.38560538,10.33338561,9.51740413,8.730454575,7.98313177,7.631907135,7.351594051,7.205495493,7.120484834,7.063572078
11.99114871,16.70004728,16.43420484,13.40342808,12.90763722,11.39664662,10.42652386,9.421499487,8.618192905,8.097660441,7.640599407,7.380703149,7.246104925,7.145277912,7.067567357
18.16507956,16.1709871,15.87817527,12.73515058,11.52840053,10.628954,10.76774716,10.02091094,9.36169808,8.626686243,8.019906885,7.545628965,7.272591077,7.14567458,7.08716594
12.69228398,15.99345957,17.1436916,12.7742618,10.96059835,10.41814376,10.29718892,10.22638935,9.910367072,8.970361459,8.234401664,7.714829654,7.335057928,7.183851019,7.104635826
9.639527089,11.93863408,12.57191038,10.89545258,12.27117345,12.70284539,11.53133912,12.18562979,11.98432785,10.8978614,9.993072402,9.138473182,8.188991709,7.629897304,7.360626428
9.501679479,18.20379678,14.9931536,13.84071015,12.00802174,11.20405008,10.82305619,10.35672679,9.425971797,8.767219751,8.196158531,7.674429165,7.353437155,7.213822764,7.118360931
13.92417294,16.88506742,15.45540685,11.9526282,13.09491337,11.46569749,9.883952514,9.417478035,8.614093562,7.853510109,7.488331588,7.262174093,7.129442537,7.052487226,7.032805244
10.2372848,14.0395386,14.08251625,13.19113884,12.73452539,11.64660981,10.43513806,10.39023208,10.36282735,9.422623204,8.632784111,8.078344235,7.643141597,7.29692712,7.113682458
13.3756836,11.69295721,12.65771898,16.45858652,12.53759869,16.6658967,12.19210084,10.74416089,10.34455788,9.381429621,8.521318229,7.827415752,7.375315117,7.178892208,7.075797836
10.93185708,13.04897562,13.7595355,15.80118419,14.68755423,11.70681253,10.6008861,9.863432297,9.532611302,8.764480324,8.212397837,7.78375411,7.44269377,7.250722148,7.119878447
11.609128,14.90882034,18.70938613,11.83209159,10.45189806,10.33028088,10.64650588,10.20120229,9.647522088,8.99925074,8.199726578,7.655584267,7.371444043,7.226313058,7.142412222
11.40264403,11.88729197,12.90867093,10.49088289,10.40252649,11.75808981,11.72834071,11.36867088,11.20567167,10.26679077,9.062523866,8.288463804,7.713930135,7.349944777,7.203457308
22.02949741,21.27672024,15.27778162,12.9891702,11.69861627,10.54265802,10.18704847,9.106936222,8.280831482,7.647964968,7.321816726,7.169883764,7.073876239,7.044983551,7.032379862
#DIV/0!,13.19999125,10.67613238,11.18599063,8.568669705,8.796541467,10.86172872,10.46949508,11.35837008,10.37338136,10.48812268,9.878508277,9.54588953,8.651756547,8.003721538
26.47810514,9.722192056,11.37682158,10.28371886,10.84492331,12.122565,11.7413271,12.77374715,11.55838277,10.56310743,9.662176025,9.017053114,8.342065669,7.807141251,7.461872833
9.616222521,14.49360265,13.03905915,14.06871125,12.60118023,10.79591303,10.12263799,10.37803659,9.629457141,8.893339037,8.19931263,7.725858063,7.361843865,7.226179117,7.118916886
11.21041948,13.17920794,16.57933942,13.45023814,12.23769286,11.66527601,11.14190039,10.15044111,9.092930036,8.29609541,7.790946165,7.441040968,7.256680772,7.122611425,7.077144642
10.9901681,15.82317563,17.94265756,14.40488093,12.10529886,11.35481019,11.05949607,10.282013,9.489145314,8.740886184,8.138811135,7.574169066,7.2864978,7.170544613,7.10661397
11.73020844,13.78066436,11.61048073,13.11330054,13.51705535,11.46664212,10.70462498,11.0155887,10.8930288,9.456807055,8.72982938,8.043887579,7.610211251,7.316011457,7.170710179
12.88348415,15.07234969,15.10624905,16.68372271,11.1067184,10.75931128,9.98789527,10.05180378,9.657700014,8.817008404,8.077523026,7.533258924,7.230299716,7.110194332,7.023859764
8.682715833,19.22692902,11.6660528,10.36031937,10.39132871,11.92426375,11.08195363,10.55304966,10.48212689,10.09523573,9.267935334,8.422972998,7.764979237,7.393403534,7.175005987
9.92851085,20.77157209,12.95824971,15.03391802,14.82844468,12.81457425,11.3166212,10.4537472,9.343485504,8.465926534,7.747469556,7.335206427,7.172358025,7.080003451,7.032341832
14.86188781,17.39745548,8.910512048,9.537341376,11.16706805,11.94588505,13.32315835,12.99868665,11.36293767,10.38077158,9.129843891,8.275395291,7.752763624,7.443541778,7.263789167
20.31247947,18.61420276,12.04648928,12.22697023,10.40533439,10.07610218,10.23836396,9.908073783,9.238462112,8.534227484,7.968715588,7.519826021,7.27720728,7.154383161,7.099884282
11.34090635,11.30080543,8.621152002,9.747221978,8.641706509,11.40139181,9.36092208,11.05142189,10.12149212,11.08999711,11.48186223,10.24509662,9.487388614,8.800713872,8.042143664
14.14667751,20.25309318,14.06911484,13.61150698,13.77531277,11.38609803,10.50826248,9.708709963,8.636174838,7.991597379,7.53735356,7.324577236,7.156084961,7.087189999,7.051079536
8.88845845,23.10543412,8.227599899,8.616921015,9.012951404,8.274834665,9.877695071,9.554100846,10.12715658,9.855475173,10.26965442,9.648125064,9.833644724,9.788510039,8.819262886
8.551092095,19.56306405,18.11255642,14.31425732,11.7053123,10.63146365,10.49397193,10.15372888,9.027343625,8.319001427,7.764345589,7.417499712,7.223092753,7.129381441,7.078236183
9.225566976,12.72549384,14.98783393,19.60135125,13.65078339,12.87671257,10.84784618,10.27682551,9.560457763,8.701106709,7.94803391,7.556613411,7.3060732,7.172920441,7.078951454
7.456484775,28.3696764,11.105629,13.47285753,11.64847588,10.39670305,10.14008322,9.551921192,9.25282452,8.803115246,8.17223248,7.599273412,7.357808854,7.186148142,7.097587664
13.7013783,16.48035461,10.96782465,11.46035157,11.04241148,13.03548179,11.30860893,11.03330242,10.33342234,9.858447385,8.860597749,8.074165343,7.572798333,7.267310352,7.108726118
28.84361173,14.69075498,12.64790556,12.93591043,12.31605919,11.46598632,10.91308363,9.97423008,9.485474745,8.476916116,7.816552944,7.427247842,7.207038809,7.142002194,7.097435986
13.22752635,10.60198573,14.49564183,10.04454716,9.449378569,10.07598421,9.789845978,11.068148,10.08828388,9.932729102,9.650976209,8.821277988,8.075160689,7.644020474,7.313614955
9.605464756,21.03723321,8.300531776,13.69458161,11.9449808,10.58851428,10.62858956,10.11789319,10.22793024,9.840202492,9.07015139,8.467138392,7.809362894,7.424319237,7.199356925
15.28777813,14.97940003,11.17767803,11.9287465,11.9013533,11.81265944,10.95436606,11.09254478,10.21343631,9.650729391,8.900633532,8.196977366,7.662874415,7.336091361,7.199934573
